date,gross_return,cost,net_return,turnover_one_way,wealth
2020-02-28,-0.26216087448948905,0.002,-0.26363655274051,0.5,0.73636344725949
2020-03-31,0.14024634635217811,0.004,0.13568536096676942,1.0,0.8362771874036286
2020-04-30,0.08079307187262796,0.0029000000000000002,0.07765877196419724,0.8,0.9012214467990671
2020-05-29,0.015562236536930632,0.0034000000000000002,0.012109324932705112,0.8,0.9121346301346797
2020-06-30,0.09913179425244278,0.0017000000000000001,0.09726327020221359,0.4,1.0008518271262652
2020-07-31,0.05693828673003852,0.0011,0.05577565461463552,0.2,1.0566749929564867
2020-08-31,-0.08364860677480995,0.0029000000000000002,-0.086306025815163,0.8,0.965477573736147
2020-09-30,0.03005387659934968,0.0011,0.028920817335090332,0.2,0.9933999742872963
2020-10-30,0.14849748360494439,0.0011,0.147234136372979,0.2,1.139662361574426
2020-11-30,0.07449369778303797,0.0022,0.07212981164791521,0.4,1.2218659930570075
2020-12-31,0.22643830377199506,0.0023000000000000004,0.22361749567331946,0.6000000000000001,1.495096606472809
2021-01-29,0.14064070753776545,0.0017000000000000001,0.1387016183349512,0.4,1.7024689253576815
2021-02-26,0.09522117617139786,0.0006000000000000001,0.09456404346569514,0.2,1.8634612708142004
2021-03-31,0.09481769709101756,0.0011,0.0936133976242175,0.2,2.0379062117162596
2021-04-30,-0.08322846157525358,0.0006000000000000001,-0.08377852449830847,0.2,1.867173436232734
2021-05-28,0.055237642957062155,0.0006000000000000001,0.054604500371288056,0.2,1.9691295088247633
2021-06-30,0.01884661467614037,0.0,0.01884661467614035,0.0,2.0062409339250014
2021-07-30,0.056056615317207084,0.0011,0.054894953040358185,0.2,2.1163734357804587
2021-08-31,-0.05024040239203211,0.0022,-0.05232987350676965,0.4,2.00562388159298
2021-09-30,0.26505790529103734,0.0017000000000000001,0.26290730685204244,0.4,2.53291705486073
2021-10-29,0.04008153403066028,0.0012000000000000001,0.03883343618982371,0.4,2.6312789276847806
2021-11-30,-0.08799373801201775,0.0012000000000000001,-0.08908814552640332,0.4,2.39686316765464
2021-12-31,-0.0988019522434479,0.0006000000000000001,-0.09934267107210182,0.2,2.1587523783854894
2022-01-31,0.0637382599558997,0.0006000000000000001,0.06310001699992629,0.2,2.294969690160245
2022-02-28,0.08330537150847298,0.0012000000000000001,0.08200540506266285,0.4,2.4831696092083697
2022-03-31,-0.1389241395992812,0.0017000000000000001,-0.14038796856196245,0.4,2.1345624721768046
2022-04-29,-0.07502411134307617,0.0011,-0.07604158482059875,0.2,1.9722469588939051
2022-05-31,-0.19215388162425276,0.0011,-0.193042512354466,0.2,1.5915194509655703
2022-06-30,0.24674904054531194,0.0022,0.24400619265611212,0.4,1.979860052733825
2022-07-29,-0.08099867519013743,0.0011,-0.08200957664742836,0.2,1.8174925679879688
2022-08-31,-0.1304400226230969,0.0017000000000000001,-0.13191827458463756,0.4,1.5777320843485938
2022-09-30,0.04910954775199887,0.0011,0.04795552724947183,0.2,1.6533930583119387
2022-10-31,-0.074085293495269,0.0012000000000000001,-0.07519639114307475,0.4,1.5290638671858696
2022-11-30,-0.055426831398167446,0.0,-0.0554268313981674,0.0,1.4443127020223285
2022-12-30,0.15822555822221612,0.0017000000000000001,0.1562565747732383,0.4,1.6699960577418183
2023-01-31,0.04584008490840943,0.0017000000000000001,0.04406215676406511,0.4,1.743579685833409
2023-02-28,0.10379725361668621,0.0006000000000000001,0.1031349752645161,0.2,1.9234037336035503
2023-03-31,0.02473091451449716,0.0012000000000000001,0.023501237417079768,0.4,1.9686061013958651
2023-04-28,0.07046377380598115,0.0012000000000000001,0.06917921727741416,0.4,2.104792730617973
2023-05-31,0.05612003430746312,0.0012000000000000001,0.054852690266294024,0.4,2.2202462743453077
2023-06-30,0.05049589551547809,0.0011,0.04934035003041126,0.2,2.329794002675222
2023-07-31,-0.022337435344036715,0.0017000000000000001,-0.023999461703951952,0.4,2.2738802007299213
2023-08-31,-0.05191397561504186,0.0011,-0.05295687024186535,0.2,2.1534626219943203
2023-09-29,-0.008823062156737206,0.0011,-0.009913356788364802,0.2,2.132114578692083
2023-10-31,0.1046886713247669,0.0011,0.10347351378630987,0.2,2.3527319659443706
2023-11-30,0.07182935400649573,0.0006000000000000001,0.07118625639409193,0.2,2.5202141468986627
2023-12-29,0.06494892692059616,0.0017000000000000001,0.06313851374483104,0.4,2.6793367224525415
2024-01-31,0.260698779350453,0.0006000000000000001,0.25994236008284255,0.2,3.3758098335434834
2024-02-29,0.09487199813701049,0.0006000000000000001,0.09421507493812831,0.2,3.693862009987653
2024-03-28,-0.05842265323708975,0.0,-0.05842265323708973,0.0,3.4780567906724853
2024-04-30,0.1413126989802151,0.0006000000000000001,0.14062791136082686,0.2,3.9671686527390975
2024-05-31,0.014070562809919656,0.0006000000000000001,0.013462120472233607,0.2,4.02057515507594
2024-06-28,-0.025544221962803128,0.0011,-0.026616123318644047,0.2,3.913563030936562
2024-07-31,0.006594280895398753,0.0023,0.004279114049339228,0.6000000000000001,3.9303096134852176
2024-08-30,0.024701836596729088,0.0017000000000000001,0.02295984347451463,0.4,4.0205489070172185
2024-09-30,0.030218111010087405,0.0023,0.027848609354764298,0.6,4.132515602920465
2024-10-31,0.10836541563081079,0.0017000000000000001,0.10648119442423831,0.4,4.572550800296238
2024-11-29,-0.006419665514517871,0.0023,-0.008704900283834416,0.6,4.532747201536892
2024-12-31,0.03316227061211534,0.0017000000000000001,0.03140589475207456,0.4,4.6751021830861195
2025-01-31,-0.11479250915807233,0.0011,-0.11576623739799852,0.2,4.133883193899071
2025-02-28,-0.1145345030046131,0.0023,-0.11657107364770247,0.6000000000000001,3.651991991652063
2025-03-31,0.04221363076139391,0.0017000000000000001,0.0404418675890994,0.4,3.799685368214907
2025-04-30,0.16260668854620772,0.0012000000000000001,0.16121156051995222,0.4,4.412238575909662
2025-05-30,0.07380910209862243,0.0017000000000000001,0.07198362662505486,0.4,4.729847510138606
2025-06-30,0.15546053765059517,0.0023,0.1528029784139988,0.6,5.452582297131822
2025-07-31,0.039537724978245,0.0017000000000000001,0.03777051084578198,0.4,5.658529115923158
2025-08-29,0.01040687481801046,0.0018,0.008588142443338054,0.6,5.707125369990481
2025-09-30,0.05104890940427767,0.0012000000000000001,0.049787650712992626,0.4,5.991269734486826
2025-10-31,-0.05118396523903084,0.0023,-0.053366242118981,0.6000000000000001,5.671538183236079
2025-11-28,-0.016830753793884528,0.0006000000000000001,-0.017420655341608304,0.2,5.572736271289152
2025-12-31,0.011454378899673465,0.0017000000000000001,0.00973490645554409,0.4,5.626986337591569
2026-01-30,-0.01571973522479497,0.0017000000000000001,-0.017393011674912806,0.4,5.529116098527265
2026-02-27,-0.004246713282624711,0.0034000000000000007,-0.007632274457463728,0.8,5.486916366956123
2026-03-31,0.01685569960415088,0.0023,0.01451693149506128,0.6,5.566569555974356
2026-04-30,0.049923359022462796,0.0023,0.047508535296711285,0.6,5.831029122205962
2026-05-29,-0.09443782057737744,0.0023,-0.09652061359004949,0.6,5.268214613469195
2026-06-30,0.027847327334798246,0.0023,0.02548327848192833,0.6,5.4024659935667945
