period,assumptions,start,end,strategy,n_months,ann_return,ann_vol,sharpe,max_dd
2021,"one-way costs 15 bps stocks/ETFs, 40 bps crypto; OOS 2020-02-28 to 2026-06-30; data_mode=FULL-public; prices 2016-01-01 to 2026-07-31",2021-01-29,2021-12-31,sixty_forty,12,0.21488121826207762,0.12957308185510566,1.658378539628835,-0.052540783812371816
2022,"one-way costs 15 bps stocks/ETFs, 40 bps crypto; OOS 2020-02-28 to 2026-06-30; data_mode=FULL-public; prices 2016-01-01 to 2026-07-31",2022-01-31,2022-12-30,xgb_top5_ew,12,-0.13096320414033613,0.5203100738562707,-0.2517022266543952,-0.4185065963586846
2022,"one-way costs 15 bps stocks/ETFs, 40 bps crypto; OOS 2020-02-28 to 2026-06-30; data_mode=FULL-public; prices 2016-01-01 to 2026-07-31",2022-01-31,2022-12-30,xgb_top30_sw,12,-0.14970298365446477,0.5963314085197288,-0.2510399108879271,-0.4824788597324249
2022,"one-way costs 15 bps stocks/ETFs, 40 bps crypto; OOS 2020-02-28 to 2026-06-30; data_mode=FULL-public; prices 2016-01-01 to 2026-07-31",2022-01-31,2022-12-30,xgb_ls,12,-0.0040271780363193566,0.20039594725239712,-0.020096105193420692,-0.18804562622016952
2022,"one-way costs 15 bps stocks/ETFs, 40 bps crypto; OOS 2020-02-28 to 2026-06-30; data_mode=FULL-public; prices 2016-01-01 to 2026-07-31",2022-01-31,2022-12-30,xgb_mv,12,0.0552755751380154,0.32985719074352415,0.16757426149607316,-0.2604952491462793
2022,"one-way costs 15 bps stocks/ETFs, 40 bps crypto; OOS 2020-02-28 to 2026-06-30; data_mode=FULL-public; prices 2016-01-01 to 2026-07-31",2022-01-31,2022-12-30,ridge_top5_ew,12,-0.22640684755571971,0.45577565493965616,-0.4967506383940045,-0.4183592225571844
2022,"one-way costs 15 bps stocks/ETFs, 40 bps crypto; OOS 2020-02-28 to 2026-06-30; data_mode=FULL-public; prices 2016-01-01 to 2026-07-31",2022-01-31,2022-12-30,rf_top5_ew,12,-0.17262898503851232,0.4856849897849272,-0.35543405431359226,-0.3447927507240163
2022,"one-way costs 15 bps stocks/ETFs, 40 bps crypto; OOS 2020-02-28 to 2026-06-30; data_mode=FULL-public; prices 2016-01-01 to 2026-07-31",2022-01-31,2022-12-30,mom_top5_ew,12,-0.06346235633553643,0.3322846222080138,-0.19098794254706225,-0.2645024551735905
2022,"one-way costs 15 bps stocks/ETFs, 40 bps crypto; OOS 2020-02-28 to 2026-06-30; data_mode=FULL-public; prices 2016-01-01 to 2026-07-31",2022-01-31,2022-12-30,equal_weight,12,-0.06871890099770239,0.2776855100623517,-0.24747024424238845,-0.23414116332432555
2022,"one-way costs 15 bps stocks/ETFs, 40 bps crypto; OOS 2020-02-28 to 2026-06-30; data_mode=FULL-public; prices 2016-01-01 to 2026-07-31",2022-01-31,2022-12-30,hist_mv,12,0.06498690868696944,0.24622301125636975,0.26393515518866123,-0.19021905920445847
