,AAPL,AMZN,BTC-USD,ETH-USD,GLD,GOOGL,IEF,JNJ,JPM,LQD,MSFT,NVDA,TLT,XLE,XLF,XLK,XLV,XOM
2020-02-28,3.786961414336311e-18,0.0,0.0,0.15139878027693768,1.3311971412739614e-16,0.19999999999999996,0.0,1.1832114897640702e-17,0.0,0.19999999999999996,0.0,7.254904889308483e-17,3.813464815740726e-17,0.19999999999999996,6.361808437161307e-17,0.0486012197230621,3.967031954862442e-17,0.19999999999999996
2020-03-31,2.9661386751537205e-17,0.19999999999999996,0.0,3.642648585985955e-18,0.19999999999999996,0.0,0.19999999999999996,3.122502256758252e-17,2.4167238890160215e-17,0.19999999999999996,0.0,6.260271775620561e-18,0.19999999999999993,0.0,8.712886743258007e-18,0.0,3.731712176339539e-17,2.2869429646299225e-17
2020-04-30,0.0,4.567811738069839e-17,0.0,7.403391285243361e-17,0.19999999999999993,0.0,0.0,1.4665843852674897e-16,4.4013188796487917e-17,0.19999999999999968,1.3114720980868746e-17,0.0,0.2,0.19999999999999998,8.439488555017713e-18,0.0,7.027986122202438e-17,0.2
2020-05-29,2.5739297766911587e-17,4.8256266552706065e-17,2.514257899217117e-17,2.6090672836034343e-18,0.0,0.19999999999999996,0.0,0.19999999999999996,2.3165186481001442e-17,0.19999999999999996,3.346556786921919e-17,0.0,0.19999999999999987,2.9428917408267786e-17,9.39607017280806e-19,0.0,0.19999999999999993,2.5493542030693766e-17
2020-06-30,0.19999999999999996,0.19999999999999937,9.24897517053607e-17,0.19999999999999976,1.2852164907370174e-16,5.334257864482102e-19,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,0.1797646060873508,7.399615565425681e-17,0.0,0.0,1.381267141567744e-16,0.0202353939126498
2020-07-31,0.19999999999999993,0.19999999999999993,0.0,0.19999999999999993,2.148166055881701e-17,0.0,9.394448503804465e-17,0.0,0.0,1.4255625360360143e-17,0.19999999999999976,0.19999999999999993,0.0,0.0,0.0,0.0,0.0,5.451368523257114e-16
2020-08-31,0.19999999999999996,0.19999999999999996,7.930838707612123e-17,0.19999999999999996,0.0,0.0,0.0,6.328207831590956e-17,0.0,0.0,0.0,0.19999999999999996,0.1999999999999999,4.2134204242392884e-17,0.0,2.638526883123632e-17,0.0,7.299798936910016e-18
2020-09-30,0.19999999999999987,0.050714872229241786,0.025493999606782183,5.943551344610479e-17,0.0,1.996547216994889e-17,0.0975187277505751,2.398051289446013e-17,1.9281069548567414e-17,0.19999999999999998,6.111772087935183e-17,0.2,0.20000000000000004,2.08345279738318e-17,2.1722323057080166e-17,5.623542297137804e-17,9.516578287145697e-18,0.026272400413400884
2020-10-30,0.0,2.2524358317656693e-17,0.0,1.0498543485299352e-17,0.08348706669786111,0.0,0.19999999999999996,0.0,0.0,4.003766091708159e-18,1.509373025925348e-17,0.19999999999999987,0.19999999999999993,0.11651293330213902,9.302383139805826e-18,0.19999999999999996,0.0,0.0
2020-11-30,0.19999999999999993,0.19999999999999993,0.0,0.19999999999999993,1.779157011748823e-18,0.0,7.37090783938138e-16,0.0,0.06656403536270097,0.0,1.603535286307554e-17,0.0,0.17298373422300034,0.0,0.0,0.0,1.1754000672234043e-16,0.16045223041429796
2020-12-31,0.0,0.19999999999999993,0.19999999999999993,0.19999999999999993,2.0256797019550273e-16,0.19999999999999968,0.0,7.197383653869526e-17,1.7447211151432746e-16,0.0,1.9551995085732016e-17,0.0,6.513163081240893e-17,2.319898811138913e-16,0.0,0.0,0.0,0.1999999999999998
2021-01-29,1.0596155565854443e-16,0.0,0.0,0.19999999999999993,0.0,0.19999999999999993,0.0,2.4326476459305625e-17,0.19999999999999993,3.887119140944165e-17,0.0,0.0,1.9622385177019762e-16,0.19999999999999993,0.0,0.0,0.0,0.19999999999999993
2021-02-26,0.0,2.6653813323292177e-16,0.19999999999999946,0.19999999999999948,1.7870127746661251e-16,0.19999999999999957,1.1825744755612288e-16,9.201667172941198e-17,7.976605550518447e-17,0.0,5.130463219341252e-16,0.19999999999999993,2.3053709654609463e-16,0.0,2.663712213077172e-16,1.6177364273195133e-16,3.392395799307924e-16,0.1999999999999993
2021-03-31,3.314930919605389e-17,9.447054413715741e-17,0.2,0.2,2.7514262068557635e-17,0.05406671849721214,1.1578797492072315e-16,0.0,0.14593328150278767,0.0,4.0964348769469555e-18,0.0,0.0,0.2,0.0,3.9537807162484454e-18,0.0,0.2
2021-04-30,0.008783047884658796,0.0,0.19999999999999996,0.19999999999999996,1.0955581544869477e-17,0.1661024761821207,6.345294648599457e-17,3.9854804692489903e-17,0.0,1.418721011211443e-16,0.0,0.025114475933220432,1.312729595545154e-16,0.19999999999999965,1.372536003474975e-16,1.9916635591907942e-17,2.0796533965961672e-17,0.19999999999999984
2021-05-28,0.19999999999999998,0.0,0.2,0.12542734394555996,0.0,0.0,0.031751323817742295,0.0,0.017632665005939487,2.5564182889386367e-17,0.0,0.18277666824415426,0.0,0.04241199898660406,0.0,1.0526074195003358e-17,0.0,0.2
2021-06-30,5.974138804848909e-16,0.0,0.19999999999999982,1.2072610368562475e-17,2.3856101535567152e-17,2.3518487424910712e-17,1.503405116807891e-16,5.400936959090841e-17,0.08854255375771405,0.0,0.11145744624228568,0.19999999999999973,0.0,0.19999999999999987,0.0,1.0994332990466064e-17,5.2632554025196605e-17,0.19999999999999987
2021-07-30,0.0,0.0,0.19999999999999996,0.06936339493284444,0.0,0.0,0.19999999999999993,3.964988186274228e-17,8.366849006565375e-17,0.1068470175299253,0.0,0.042111068887712995,0.0,0.19999999999999996,0.0,0.0,0.0,0.18167851864951726
2021-08-31,0.0,0.0076827314345753045,0.0,0.19999999999999993,1.3744396699145934e-17,0.0,0.15855372952409078,0.0,0.0,0.0,0.0,0.19999999999999987,0.05580215639421989,0.19999999999999987,9.297247045352414e-17,0.0,0.0,0.17796138264711414
2021-09-30,0.0,4.3497148431401316e-17,2.6103390188119387e-17,0.0,1.2203457658108334e-16,2.3290166382726263e-17,0.16689653526459827,1.1783304728653215e-16,0.19999999999999998,2.1913157257980854e-17,1.4267864933968707e-17,0.03310346473540136,0.1999999999999999,2.843593402729898e-17,2.4390020592591532e-17,5.923067874428415e-17,0.2,0.2
2021-10-29,0.0,8.017891059628296e-17,0.1999999999999999,0.2,0.0,0.07093744235104173,0.0,4.349644349864037e-18,0.10578816244946088,0.0,2.2995033072884895e-17,0.05308285829908688,2.537535036043672e-17,0.17019153690041042,0.0,2.0199088609936607e-17,0.0,0.2
2021-11-30,2.1868022599727118e-17,0.0,0.19999999999999982,0.19999999999999996,0.0,2.833206001066217e-17,2.5302574447427312e-17,0.0,0.0,0.0,4.502118138670363e-17,0.19999999999999984,3.6842817348949987e-16,0.1999999999999999,1.729707498512967e-17,5.7192982159937145e-18,4.6230206077765535e-17,0.19999999999999996
2021-12-31,5.396102708338058e-17,0.0,0.19999999999999987,0.04291035759494725,0.0,6.320187840065744e-17,0.1571052977023873,0.0,0.19999999999999996,2.6330927449412393e-16,0.0,0.1999999999999998,0.1999843447026653,1.8995071577490465e-17,3.5830803778115747e-17,1.023996283749373e-16,0.0,4.643566561950067e-17
2022-01-31,0.0,0.17020254629620632,0.19999999999999996,0.1999999999999999,0.0,0.0,0.0,5.61209157822929e-17,9.438308807566414e-17,0.0,0.0,0.19999999999999993,2.5853533947058072e-17,5.126144225795008e-18,6.699285214258415e-17,5.0601649097983873e-17,0.05581933720918122,0.17397811649461253
2022-02-28,0.1868471256329239,0.0,0.17297777269658265,0.2,0.0,7.45228427337873e-18,0.0,0.0,0.0,6.597887279686186e-17,4.49893963639003e-17,0.0,0.09597934383143125,0.19999999999999998,8.594084686277527e-18,0.0,1.7311747779418786e-17,0.1441957578390621
2022-03-31,1.5389787125791367e-16,0.0,0.10933054174167019,0.2,2.3289963912489245e-17,0.0,9.03849134540866e-18,0.0,0.0,1.0946606406788205e-17,0.2,0.09066945825832966,0.0,0.2,7.054080380448542e-18,0.0,0.0,0.2
2022-04-29,0.0,0.0972694683809812,0.11611954416791634,0.08861595184395056,0.19999999999999996,0.0,2.2051600399359706e-17,0.19999999999999996,0.0,0.0,1.8331949356395773e-17,0.0,0.0,0.09799503560715214,0.0,2.063762748106116e-18,0.19999999999999984,0.0
2022-05-31,0.0,0.0,0.0,0.19999999999999996,0.07174182387029109,1.8712210126483695e-17,0.14142324543842716,1.7668081757271542e-16,0.08068334292743813,0.0,2.3417997715793724e-17,0.06952767170799463,0.1986800057590561,0.037943910296792796,9.838747986756988e-18,0.0,5.4887035905721965e-17,0.1999999999999999
2022-06-30,0.0,2.1174284511508336e-17,1.4838585874066757e-16,0.19999999999999998,0.14551697724929422,0.0,0.19999999999999996,4.241968569541707e-17,0.2,1.0185685126557705e-16,6.025150654032096e-17,2.0149652262482436e-17,6.824245018631424e-17,1.1010002084676501e-16,2.966228275660225e-17,0.05448302275070543,8.007272221548682e-19,0.1999999999999999
2022-07-29,1.193700961528245e-17,0.06058824389376517,0.19999999999999998,1.0512063924053323e-17,0.1999999999999999,1.6769260530447554e-17,0.2,0.13883551492877652,0.037020460842750534,0.125832637615301,6.744933612950149e-18,3.9311686715024077e-17,4.643390263759043e-17,0.03772314271940675,2.576438517532978e-17,3.422827029199537e-17,0.0,1.3311721771517644e-17
2022-08-31,2.6348825408401245e-17,0.0,0.19999999999999993,0.0,0.19999999999999987,0.0,0.1999999999999999,0.1403197388723386,0.05968026112766169,0.19999999999999993,0.0,6.954721301811102e-18,0.0,0.0,2.899884446471431e-17,6.458011301036033e-17,0.0,3.38055932973955e-17
2022-09-30,4.869707045101996e-17,0.0,0.019552538245287198,0.19999999999999993,0.02510406450678245,0.0,0.19999999999999996,0.06491146631752909,0.0,0.19999999999999996,7.227579588778928e-17,1.2307954293399012e-17,0.0,0.0904319309304012,0.0,6.833305195808554e-17,0.0,0.19999999999999996
2022-10-31,0.0,0.0,0.06117458065216344,0.19999999999999996,5.2286637783197857e-17,0.0,0.0,1.6108066968838016e-17,0.0,0.0,1.2521924661208614e-17,0.19999999999999996,0.1388254193478366,0.1999999999999999,1.460243639185427e-17,0.0,0.0,0.19999999999999993
2022-11-30,0.0,3.891149995792036e-17,3.428017808602442e-17,2.1373138697105089e-16,0.18566469292196922,0.0,0.2,0.011069655516770116,0.2,0.0,0.0,0.19232201991291462,0.12809588597838842,0.08284774566995727,0.0,0.0,0.0,0.0
