date,gross_return,cost,net_return,turnover_one_way,wealth
2020-02-28,-0.09272289186713087,0.002,-0.09453744608339665,0.5,0.9054625539166034
2020-03-31,0.2598524962489762,0.0011,0.25846665850310235,0.2,1.139494434627113
2020-04-30,0.06668102482066504,0.0022,0.06433432656605964,0.4,1.2128030417046212
2020-05-29,0.10551992534878712,0.0012000000000000001,0.10419330143836847,0.4,1.3391689946143208
2020-06-30,0.09730330490724745,0.0006000000000000001,0.09664492292430293,0.2,1.4685928788814382
2020-07-31,0.15771644776669272,0.0006000000000000001,0.1570218178980327,0.2,1.699194002475507
2020-08-31,-0.08364860677480995,0.0011,-0.08465659330735764,0.2,1.5553460268576367
2020-09-30,-0.028642376647670886,0.0,-0.028642376647670886,0.0,1.5107972201389217
2020-10-30,0.17485866404203515,0.0,0.1748586640420351,0.0,1.774973203690834
2020-11-30,0.1589567808436007,0.0011,0.15768192838467288,0.2,2.0548544012799255
2020-12-31,0.20620279788453807,0.0,0.206202797884538,0.0,2.4785711280692033
2021-01-29,0.06741204255714209,0.0,0.06741204255714206,0.0,2.6456566704355082
2021-02-26,0.11588648851333871,0.0,0.11588648851333883,0.0,2.952252531784171
2021-03-31,0.15350573633750708,0.0006000000000000001,0.15281363289570438,0.2,3.403396966391651
2021-04-30,-0.08193294937727116,0.0006000000000000001,-0.0824837896076448,0.2,3.1226718870645054
2021-05-28,0.05766113401918198,0.0006000000000000001,0.05702653733877039,0.2,3.300747052028918
2021-06-30,0.048312428056322305,0.0012000000000000001,0.04705445314265466,0.4,3.4560618995243684
2021-07-30,0.1569375599602315,0.0006000000000000001,0.15624339742425541,0.2,3.9960487524145814
2021-08-31,-0.034262848777886684,0.0006000000000000001,-0.03484229106861991,0.2,3.856817258658557
2021-09-30,0.22789390427932635,0.0,0.22789390427932643,0.0,4.735762401826144
2021-10-29,-0.04187796376626854,0.0006000000000000001,-0.042452836988008835,0.2,4.534715852567477
2021-11-30,-0.08979623573850706,0.0012000000000000001,-0.0908884802556208,0.4,4.122562420336547
2021-12-31,-0.08619058178892545,0.0,-0.08619058178892547,0.0,3.7672363668665794
2022-01-31,0.022686576338819476,0.0017000000000000001,0.02094800915904349,0.4,3.8461524687839823
2022-02-28,0.08946998619980001,0.0012000000000000001,0.08816262221636029,0.4,4.185239355875906
2022-03-31,-0.10881756654881322,0.0,-0.10881756654881325,0.0,3.729811793745167
2022-04-29,0.04642919399819176,0.0011,0.04527812188479374,0.2,3.898690666749702
2022-05-31,-0.19971140831065806,0.0011,-0.2005917257615163,0.2,3.1166455776960627
2022-06-30,0.08653793054947848,0.0017000000000000001,0.08469081606754436,0.4,3.3805968350644453
2022-07-29,-0.026833123502547677,0.0006000000000000001,-0.027417023628446113,0.2,3.2879109317592334
2022-08-31,-0.0632102318230105,0.0006000000000000001,-0.06377230568391679,0.2,3.078233270757592
2022-09-30,0.15788395560707436,0.0,0.15788395560707436,0.0,3.5642369158261027
2022-10-31,0.02146193207914946,0.0006000000000000001,0.020849054919901855,0.2,3.6385478870317027
2022-11-30,-0.0376927426259085,0.0006000000000000001,-0.03827012698033294,0.2,3.499300197370977
2022-12-30,0.008852238200754668,0.0006000000000000001,0.008246926857834236,0.2,3.5281586701523007
2023-01-31,-0.05403922802552421,0.0,-0.05403922802552419,0.0,3.3374996992657104
2023-02-28,-0.011971167271376724,0.0006000000000000001,-0.01256398457101393,0.2,3.2955674045383723
2023-03-31,0.04329026931456573,0.0012000000000000001,0.04203832099138838,0.4,3.434107524939113
2023-04-28,0.040985578893562344,0.0012000000000000001,0.03973639619888991,0.4,3.570566582139683
2023-05-31,0.07193790981961534,0.0012000000000000001,0.07065158432783192,0.4,3.8228327681158634
2023-06-30,0.012499647139338089,0.0022,0.01027214791563158,0.4,3.862101471766673
