strategy,assumptions,n_months,start,end,ann_return,ann_vol,sharpe,sortino,max_dd,calmar,avg_turnover,avg_cost,end_wealth,sharpe_gross,sharpe_net,cost_drag_sharpe
xgb_top5_ew,"one-way costs 15 bps stocks/ETFs, 40 bps crypto; OOS 2020-02-28 to 2026-06-30; data_mode=FULL-public; prices 2016-01-01 to 2026-07-31",77,2020-02-28,2026-06-30,0.29678594394251734,0.3534666075416041,0.8396435125985267,1.4424739937047182,-0.48227366296700813,0.6153890762283243,0.39870129870129867,0.0015597402597402597,5.299540591221924,0.9057472838280106,0.8396435125985267,0.06610377122948397
xgb_top30_sw,"one-way costs 15 bps stocks/ETFs, 40 bps crypto; OOS 2020-02-28 to 2026-06-30; data_mode=FULL-public; prices 2016-01-01 to 2026-07-31",77,2020-02-28,2026-06-30,0.3182841251716635,0.4129319243479976,0.7707907923908304,1.2689684201566904,-0.5912722020402659,0.5383038879104758,0.5038352481318359,0.0023544551240212456,5.889221558289374,0.858928711590378,0.7707907923908304,0.08813791919954761
xgb_ls,"one-way costs 15 bps stocks/ETFs, 40 bps crypto; OOS 2020-02-28 to 2026-06-30; data_mode=FULL-public; prices 2016-01-01 to 2026-07-31",77,2020-02-28,2026-06-30,0.07219275424602345,0.1585443271625879,0.4553474447054133,0.7275538101025518,-0.2697916108837103,0.26758709809231646,0.47662337662337667,0.0017610389610389614,1.5640509735330255,0.5991898496256473,0.4553474447054133,0.14384240492023398
xgb_mv,"one-way costs 15 bps stocks/ETFs, 40 bps crypto; OOS 2020-02-28 to 2026-06-30; data_mode=FULL-public; prices 2016-01-01 to 2026-07-31",77,2020-02-28,2026-06-30,0.24881969235658863,0.27403810400152784,0.9079747988447672,1.6279672609942817,-0.3411907229091443,0.7292686337865254,0.5052666428768432,0.0019472108019815985,4.161085645391594,1.0137412334429001,0.9079747988447672,0.10576643459813295
ridge_top5_ew,"one-way costs 15 bps stocks/ETFs, 40 bps crypto; OOS 2020-02-28 to 2026-06-30; data_mode=FULL-public; prices 2016-01-01 to 2026-07-31",77,2020-02-28,2026-06-30,0.3006791794043926,0.34049460206722726,0.8830659211009356,1.5306056957028702,-0.4510985943656092,0.6665486950302848,0.3753246753246754,0.0015025974025974023,5.4024659935667945,0.9509318278828531,0.8830659211009356,0.0678659067819175
rf_top5_ew,"one-way costs 15 bps stocks/ETFs, 40 bps crypto; OOS 2020-02-28 to 2026-06-30; data_mode=FULL-public; prices 2016-01-01 to 2026-07-31",77,2020-02-28,2026-06-30,0.44472527152315755,0.3746094801562806,1.1871703602845978,2.3024991536158907,-0.37101847479180694,1.1986607183718019,0.29999999999999993,0.0012051948051948055,10.59958382096871,1.242823264308057,1.1871703602845978,0.05565290402345924
mom_top5_ew,"one-way costs 15 bps stocks/ETFs, 40 bps crypto; OOS 2020-02-28 to 2026-06-30; data_mode=FULL-public; prices 2016-01-01 to 2026-07-31",77,2020-02-28,2026-06-30,0.38405367846038985,0.32116236991388214,1.195824026841537,2.574696632810223,-0.3500025952377588,1.0972880878197488,0.21168831168831165,0.0008038961038961041,8.048803520227004,1.238312105808895,1.195824026841537,0.04248807896735807
equal_weight,"one-way costs 15 bps stocks/ETFs, 40 bps crypto; OOS 2020-02-28 to 2026-06-30; data_mode=FULL-public; prices 2016-01-01 to 2026-07-31",77,2020-02-28,2026-06-30,0.2499361088783103,0.18904465979657284,1.32210086837291,2.482871266466585,-0.23943770075404358,1.0438460947929455,0.006493506493506494,2.3088023088023087e-05,4.185012977082614,1.325175304956338,1.32210086837291,0.0030744365834278753
hist_mv,"one-way costs 15 bps stocks/ETFs, 40 bps crypto; OOS 2020-02-28 to 2026-06-30; data_mode=FULL-public; prices 2016-01-01 to 2026-07-31",77,2020-02-28,2026-06-30,0.3472161226237751,0.25428111280408916,1.3654813713643281,3.004421619547774,-0.2213276814079581,1.568787602232978,0.19025699076983252,0.0007149705862184612,6.769488047302028,1.4104876844082224,1.3654813713643281,0.04500631304389424
sixty_forty,"one-way costs 15 bps stocks/ETFs, 40 bps crypto; OOS 2020-02-28 to 2026-06-30; data_mode=FULL-public; prices 2016-01-01 to 2026-07-31",77,2020-02-28,2026-06-30,0.15116388968317684,0.15529552936983157,0.973394986298573,1.7210600937089624,-0.268623891229254,0.5627343457480025,0.006493506493506494,2.207792207792208e-05,2.467725015584308,0.9760902680621375,0.973394986298573,0.0026952817635644832
