,AAPL,AMZN,BTC-USD,ETH-USD,GLD,GOOGL,IEF,JNJ,JPM,LQD,MSFT,NVDA,TLT,XLE,XLF,XLK,XLV,XOM
2020-02-28,0.0,0.0,0.0,0.23520039496632342,0.0,0.12097569563928567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18293103337837305,0.0,0.10477843773542203,0.07157098753680012,0.2845434507437957
2020-03-31,0.0,0.7554380796200648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24456192037993515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-30,0.0,0.0,0.0,0.0,0.09247904376250776,0.0,0.0,0.0,0.0,0.09247904376250776,0.0,0.0,0.10950855745722585,0.3663726318836659,0.08653770928524014,0.0,0.0,0.25262301384885255
2020-05-29,0.17195454813022334,0.0,0.0,0.0,0.0,0.17195454813022334,0.0,0.16928547560885976,0.0,0.0,0.0,0.0,0.0,0.1505487856240306,0.0,0.17195454813022334,0.16430209437643958,0.0
2020-06-30,0.2615571929682226,0.2549278292589284,0.05659018341521368,0.1103079674324746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26169723291552754,0.0,0.054919594009633206,0.0,0.0,0.0,0.0
2020-07-31,0.18137932016680958,0.12556012743345094,0.0,0.14523013494234596,0.0,0.0,0.0,0.0,0.0,0.0,0.11498880107089436,0.3397726400070016,0.0,0.0,0.0,0.0,0.0,0.0930689763794976
2020-08-31,0.22166408361622705,0.20673288231249265,0.0,0.23492948499340227,0.0,0.0,0.0,0.0,0.031457976976283615,0.0,0.03957614960725839,0.26563942249433603,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-30,0.19601133370884422,0.0,0.13983420061149032,0.1701804179567804,0.0,0.0,0.0,0.0,0.0,0.0,0.11519518388606029,0.26193219042924526,0.0,0.0,0.0,0.0,0.0,0.11684667340757954
2020-10-30,0.0,0.0,0.035501399507401166,0.0,0.0,0.0,0.0,0.0,0.1343727588555043,0.0,0.0,0.3099869288907847,0.0,0.2070332552821249,0.0,0.16874682290792964,0.0,0.14435883455625526
2020-11-30,0.13049424183376385,0.10684350814507695,0.0,0.40689095476956766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12957180754279451,0.0,0.11214753272320774,0.0,0.0,0.0,0.11405195498558927
2020-12-31,0.0,0.10922884205644987,0.37907383664825545,0.18210775145440924,0.0,0.10052670157580709,0.0,0.0,0.0,0.0,0.0,0.09480604807443678,0.0,0.0,0.0,0.0,0.0,0.13425682019064153
2021-01-29,0.0,0.0,0.0,0.1515320916376577,0.0,0.052329780164497464,0.0,0.0,0.15368248775055535,0.0,0.0,0.0,0.0,0.31138899560135097,0.04338228055942925,0.0,0.0,0.28768436428650923
