,AAPL,MSFT,AMZN,GOOGL,JPM,JNJ,XOM,NVDA,XLK,XLF,XLE,XLV,GLD,TLT,IEF,LQD,BTC-USD,ETH-USD
2016-01-29,-0.0012877122259025153,-0.06978897011354335,-0.0587393835904203,-0.05796294135808899,-0.05378163723442053,0.014673116990945312,0.03888844738224506,0.07457361216228864,-0.006546996435920827,-0.029005689602584317,-0.028002254971543072,-0.0036106700272822145,0.10930343875618398,0.030859647026708625,0.014859551665701076,0.010517240341675338,0.15343078074701855,
2016-02-29,0.12721108373522427,0.08549525961252846,0.07442263797657822,0.06369031521379842,0.051865185105000045,0.02841922116915807,0.04291938482901014,0.1361605525767169,0.08821697932565686,0.0715918121687602,0.10165925827128319,0.027074517807065712,-0.008428860461434318,-0.0009333858146158835,-0.0006612857622040336,0.03614606317403268,-0.0479052575029868,
2016-03-31,-0.1399211055747055,-0.0970488438230499,0.11109428941783261,-0.07211947947020425,0.07510818972533984,0.035859490965319374,0.05754303332994226,-0.0028066908762911513,-0.05027048846314264,0.035999980558566236,0.09064481340475772,0.029654894234627083,0.051088083708025867,-0.007365020290655555,-0.001561213715378429,0.015545333595510913,0.09206937985449826,
2016-04-29,0.07177267840613166,0.070196666163312,0.09581709440582009,0.05787702754498181,0.03275291347132758,0.012621191079278615,0.015476677837740205,0.3183600097616017,0.04889613308988938,0.018875716430993617,-0.009333451171313789,0.022352560905998686,-0.06138296703293311,0.008054092030295612,-0.0009922450002952665,-0.00512476331130296,0.16763240364636167,
2016-05-31,-0.04265990663075481,-0.03452860184870721,-0.009919933525815994,-0.06051953442147584,-0.047954697681202196,0.07640413899136456,0.05302213819091239,0.0062073116571290665,-0.013778190985707095,-0.03232646342216017,0.02720724073757874,0.009091744468831875,0.08969501879279118,0.0693416692671478,0.030876652132173055,0.030943307306835477,0.26713348191662334,
2016-06-30,0.09006293284642664,0.10768026105882633,0.06035326650727413,0.12481342158903819,0.037463726988472335,0.03239924577159248,-0.05109882106973096,0.21463486638016738,0.07101733073515781,0.034558084963776325,-0.01260306304904757,0.04866817219355268,0.01984656031160892,0.02102488514755496,0.0024648888988394457,0.012916110831636018,-0.024274577674506026,
2016-07-29,0.023651662970461507,0.0200799589444125,0.013639826927226206,-0.0018827777532450796,0.055182194655834405,-0.04067633522187142,-0.011994518892804673,0.07623556683274457,0.011625210356040139,0.03847742049400105,0.01677135645295813,-0.032446552104434256,-0.03256316550912575,-0.010133862131755933,-0.010114823737524481,0.0018029140285569234,-0.12408068741472278,
2016-08-31,0.06550448574229106,0.0024365121085059283,0.08860318280928281,0.01799063296253478,-0.013481582625554211,-0.010139092630165658,0.0016066009681547921,0.11705210133505517,0.021018245398609192,-0.02801767922242715,0.036881617338363704,-0.0050963204755830604,0.006892135107908315,-0.015084720219803671,0.002374502251402566,-0.003155868226450309,0.05953895478755822,
2016-09-30,0.004334247601751384,0.0402778788793674,-0.05671734948914742,0.007263115210450755,0.047657001251565134,-0.018115583616472808,-0.045371001393372135,0.03852879804677323,-0.0075351977760872435,0.022797938867394896,-0.02818277983134776,-0.06587154630443093,-0.02944919584699579,-0.04380650053991231,-0.014946848024585346,-0.015286049638526311,0.14963386012549873,
2016-10-31,-0.02160085429356784,0.012467973664271659,-0.0496949044026711,-0.04200521620111042,0.15752275057203557,-0.03380375047977813,0.05704516593386,0.2976119538995541,0.001687468784363988,0.14032435970248658,0.08466931947859258,0.020634934820269457,-0.08356570639157301,-0.08213733067778994,-0.04227250170720198,-0.03167547367472001,0.06379569384552086,
