Date,AAPL,MSFT,AMZN,GOOGL,JPM,JNJ,XOM,NVDA,XLK,XLF,XLE,XLV,GLD,TLT,IEF,LQD,BTC-USD,ETH-USD,^VIX,^TNX
2021-12-09,170.50926208496094,320.27001953125,174.17100524902344,146.34088134765625,142.4441375732422,145.22447204589844,53.25017166137695,30.393978118896484,82.70726013183594,35.92599868774414,23.971580505371094,124.1080322265625,165.8800048828125,126.0440673828125,99.70014190673828,109.67291259765625,47672.12109375,4119.81591796875,21.579999923706055,1.4869999885559082
2021-12-10,175.2858123779297,329.3464050292969,172.21200561523438,146.70066833496094,141.8759765625,144.86557006835938,53.59037399291992,30.102903366088867,84.36681365966797,35.962833404541016,24.14877700805664,124.54296875,166.5800018310547,125.739990234375,99.76931762695312,109.79695892333984,47243.3046875,3908.49609375,18.690000534057617,1.4889999628067017
2021-12-11,,,,,,,,,,,,,,,,,49362.5078125,4084.452392578125,,
2021-12-12,,,,,,,,,,,,,,,,,50098.3359375,4134.453125,,
2021-12-13,171.66188049316406,326.3274230957031,169.5675048828125,144.54478454589844,140.18931579589844,147.45672607421875,52.41667175292969,28.07231330871582,83.11248779296875,35.5760383605957,23.477975845336914,125.71827697753906,167.0,127.59830474853516,100.24508666992188,110.29305267333984,46737.48046875,3784.226806640625,20.309999465942383,1.4240000247955322
2021-12-14,170.28460693359375,315.693359375,169.0915069580078,142.64215087890625,141.2634735107422,149.0673828125,52.340126037597656,28.247756958007812,81.74723815917969,35.78786087036133,23.38094711303711,125.20930480957031,165.44000244140625,127.29417419433594,100.07209014892578,109.79695892333984,46612.6328125,3745.4404296875,21.889999389648438,1.437999963760376
2021-12-15,175.13929748535156,321.7602844238281,173.31500244140625,145.15386962890625,140.2070770263672,149.8114776611328,52.11049270629883,30.363079071044922,83.913330078125,35.88916015625,23.26703453063965,127.77271270751953,166.14999389648438,126.06938934326172,99.92504119873047,109.93750762939453,48896.72265625,4018.388671875,19.290000915527344,1.4630000591278076
2021-12-16,168.26263427734375,312.3858337402344,168.87100219726562,143.17543029785156,142.39974975585938,151.44837951660156,52.19553756713867,28.297603607177734,81.53496551513672,36.34041976928711,23.41469383239746,128.53155517578125,168.16000366210938,126.11847686767578,100.21597290039062,109.9342041015625,47665.42578125,3962.4697265625,20.56999969482422,1.4220000505447388
2021-12-17,167.16864013671875,311.3282165527344,170.0175018310547,140.47933959960938,139.1595458984375,147.26409912109375,51.05585861206055,27.713449478149414,80.98985290527344,35.53919982910156,22.93796730041504,127.63385009765625,167.8000030517578,127.54759979248047,100.44104766845703,110.19104766845703,46202.14453125,3879.486572265625,21.56999969482422,1.4019999504089355
2021-12-18,,,,,,,,,,,,,,,,,46848.77734375,3960.860107421875,,
2021-12-19,,,,,,,,,,,,,,,,,46707.015625,3922.592529296875,,
2021-12-20,165.81088256835938,307.5880126953125,167.07899475097656,140.3623504638672,136.65618896484375,146.8439483642578,50.31591796875,27.6317081451416,80.02653503417969,34.8488883972168,22.653778076171875,126.86097717285156,167.08999633789062,126.59199523925781,100.3544921875,109.71052551269531,46880.27734375,3933.844482421875,22.8700008392334,1.4190000295639038
2021-12-21,168.97572326660156,314.6838073730469,170.41700744628906,142.2115020751953,138.56480407714844,146.37123107910156,51.45559310913086,28.983440399169922,82.0517349243164,35.57065200805664,23.2990779876709,127.39051055908203,167.02000427246094,126.11000061035156,99.95621490478516,109.92588806152344,48936.61328125,4020.260009765625,21.010000228881836,1.4869999885559082
2021-12-22,171.56422424316406,320.36614990234375,171.03700256347656,145.1280975341797,139.1063232421875,147.0015411376953,51.872344970703125,29.307416915893555,83.12474060058594,35.73721694946289,23.44864845275879,128.8768310546875,168.58999633789062,126.69351196289062,100.05142211914062,110.0998764038086,48628.51171875,3982.099609375,18.6299991607666,1.4570000171661377
2021-12-23,172.1893768310547,321.79876708984375,171.06849670410156,145.62521362304688,139.6034393310547,147.2816162109375,51.89785385131836,29.546653747558594,83.58873748779297,35.92229080200195,23.461471557617188,129.4063720703125,168.97000122070312,125.59413146972656,99.8436279296875,109.9342041015625,50784.5390625,4108.015625,17.959999084472656,1.4930000305175781
2021-12-24,,,,,,,,,,,,,,,,,50822.1953125,4047.98291015625,,
2021-12-25,,,,,,,,,,,,,,,,,50429.859375,4093.281005859375,,
2021-12-26,,,,,,,,,,,,,,,,,50809.515625,4067.328125,,
2021-12-27,176.14541625976562,329.2599182128906,169.66949462890625,146.6065216064453,140.40235900878906,148.52467346191406,52.63780212402344,30.84754753112793,85.3819351196289,36.292442321777344,23.974285125732422,130.7719268798828,169.3699951171875,125.89862823486328,99.87828063964844,110.25728607177734,50640.41796875,4037.547607421875,17.68000030517578,1.4809999465942383
2021-12-28,175.1295166015625,328.10614013671875,170.66099548339844,145.39773559570312,140.82847595214844,149.11993408203125,52.46769714355469,30.226505279541016,84.93726348876953,36.31093978881836,23.957195281982422,130.42823791503906,168.63999938964844,125.3996353149414,99.86096954345703,110.11648559570312,47588.85546875,3800.89306640625,17.540000915527344,1.4809999465942383
2021-12-29,175.2174072265625,328.7791748046875,169.2010040283203,145.36599731445312,140.75746154785156,150.17037963867188,52.0084342956543,29.906518936157227,85.00975036621094,36.26468276977539,23.803346633911133,131.1714324951172,168.58999633789062,124.0296859741211,99.35016632080078,109.51168060302734,46444.7109375,3628.53173828125,16.950000762939453,1.5429999828338623
2021-12-30,174.06478881835938,326.2504577636719,168.64450073242188,144.91551208496094,140.68643188476562,150.83566284179688,51.702239990234375,29.492826461791992,84.44910430908203,36.19989776611328,23.658050537109375,131.44082641601562,169.8000030517578,125.06981658935547,99.67916107177734,109.95076751708984,47178.125,3713.85205078125,17.329999923706055,1.5149999856948853
2021-12-31,173.4494171142578,323.3659973144531,166.7169952392578,143.578857421875,140.57102966308594,149.7501983642578,52.042449951171875,29.318378448486328,84.03823852539062,36.13512420654297,23.71787452697754,130.88343811035156,170.9600067138672,125.31514739990234,99.56660461425781,109.78510284423828,46306.4453125,3682.6328125,17.219999313354492,1.5119999647140503
2022-01-01,,,,,,,,,,,,,,,,,47686.8125,3769.697021484375,,
2022-01-02,,,,,,,,,,,,,,,,,47345.21875,3829.56494140625,,
2022-01-03,177.78640747070312,321.8564758300781,170.4044952392578,143.71713256835938,143.54489135742188,150.16162109375,54.041133880615234,30.02614402770996,84.83574676513672,36.57929611206055,24.45292091369629,129.53643798828125,168.3300018310547,122.02554321289062,98.64018249511719,108.61701202392578,46458.1171875,3761.38037109375,16.600000381469727,1.628000020980835
2022-01-04,175.53001403808594,316.3375244140625,167.52200317382812,143.1303253173828,148.98667907714844,149.7589569091797,56.07383728027344,29.197765350341797,83.9367446899414,37.541664123535156,25.299070358276367,127.82709503173828,169.57000732421875,121.5182113647461,98.5882568359375,108.70809936523438,45897.57421875,3794.056640625,16.90999984741211,1.6679999828338623
2022-01-05,170.8609161376953,304.1940002441406,164.35699462890625,136.5640411376953,146.26290893554688,150.7568817138672,56.7712516784668,27.517070770263672,81.35572052001953,37.10675048828125,25.294797897338867,126.91669464111328,169.05999755859375,120.85859680175781,98.17266845703125,108.07018280029297,43569.00390625,3550.386962890625,19.729999542236328,1.7050000429153442
2022-01-06,168.00869750976562,301.7904052734375,163.25399780273438,136.53680419921875,147.81678771972656,150.24038696289062,58.1065559387207,28.08926010131836,80.94488525390625,37.6527099609375,25.858898162841797,125.44892120361328,166.99000549316406,121.17147064208984,97.93025207519531,107.92935943603516,43160.9296875,3418.408203125,19.610000610351562,1.7330000400543213
2022-01-07,168.1747283935547,301.944091796875,162.5540008544922,135.8126983642578,149.28135681152344,152.27122497558594,58.58283233642578,27.16119384765625,80.20054626464844,38.09688186645508,26.21359634399414,124.80795288085938,167.75,120.30046844482422,97.60989379882812,107.46546173095703,41557.90234375,3193.21044921875,18.760000228881836,1.7710000276565552
2022-01-08,,,,,,,,,,,,,,,,,41733.94140625,3091.97265625,,
2022-01-09,,,,,,,,,,,,,,,,,41911.6015625,3157.75146484375,,
2022-01-10,168.1942596435547,302.16534423828125,161.48599243164062,137.45069885253906,149.42425537109375,151.5184326171875,58.234130859375,27.313711166381836,80.21504974365234,37.96733093261719,26.132404327392578,126.08992767333984,168.25999450683594,120.59644317626953,97.58390808105469,107.36605834960938,41821.26171875,3083.097900390625,19.399999618530273,1.7799999713897705
2022-01-11,171.01718139648438,302.84796142578125,165.36199951171875,138.50782775878906,149.57606506347656,149.90777587890625,60.68357849121094,27.729402542114258,81.17689514160156,38.30046463012695,27.02128791809082,127.09320068359375,170.2899932861328,121.39979553222656,97.81768798828125,107.68911743164062,42735.85546875,3238.111572265625,18.40999984741211,1.746000051498413
2022-01-12,171.45677185058594,306.0111999511719,165.20700073242188,140.1874542236328,150.4244842529297,148.6297149658203,60.50497055053711,27.910825729370117,81.55873107910156,38.328216552734375,27.072566986083984,126.73088836669922,170.74000549316406,120.93467712402344,97.83501434326172,107.61455535888672,43949.1015625,3372.25830078125,17.6200008392334,1.725000023841858
2022-01-13,168.1942596435547,293.0600280761719,161.21400451660156,137.36892700195312,150.2369384765625,147.7280731201172,60.071205139160156,26.491310119628906,79.446533203125,38.180152893066406,26.935813903808594,124.76152038574219,170.16000366210938,122.00861358642578,98.14669799804688,107.9542236328125,42591.5703125,3248.28857421875,20.309999465942383,1.7109999656677246
2022-01-14,169.0538787841797,298.2520751953125,162.13800048828125,138.25457763671875,141.00283813476562,146.9227294921875,61.125850677490234,26.85715675354004,80.11834716796875,37.782257080078125,27.568296432495117,124.54785919189453,169.6699981689453,120.16517639160156,97.47138977050781,107.00152587890625,43099.69921875,3310.00146484375,19.190000534057617,1.7719999551773071
2022-01-15,,,,,,,,,,,,,,,,,43177.3984375,3330.53076171875,,
2022-01-16,,,,,,,,,,,,,,,,,43113.87890625,3350.921875,,
2022-01-17,,,,,,,,,,,,,,,,,42250.55078125,3212.304931640625,,
2022-01-18,165.85975646972656,290.99285888671875,158.91749572753906,134.8026580810547,135.0908660888672,146.27496337890625,62.15496063232422,25.82142448425293,78.19467163085938,36.940189361572266,27.67940330505371,122.80134582519531,169.38999938964844,118.4738540649414,96.7354736328125,105.98253631591797,42375.6328125,3164.025146484375,22.790000915527344,1.8650000095367432
2022-01-19,162.37255859375,291.6466369628906,156.2989959716797,133.92892456054688,133.0011444091797,145.81976318359375,62.18048095703125,24.988061904907227,77.10232543945312,36.3202018737793,27.478551864624023,122.29969024658203,172.0800018310547,119.29415893554688,96.9692153930664,106.14823150634766,41744.328125,3095.825927734375,23.850000381469727,1.8270000219345093
2022-01-20,160.69247436523438,289.9833679199219,151.66749572753906,132.13583374023438,131.8669891357422,144.65548706054688,62.316551208496094,24.073944091796875,76.10665893554688,36.088863372802734,27.226415634155273,121.50080871582031,171.64999389648438,120.0298080444336,97.17697143554688,106.09022521972656,40680.41796875,3001.1201171875,25.59000015258789,1.8329999446868896
2022-01-21,158.64126586914062,284.6278381347656,142.64300537109375,129.205810546875,129.5629425048828,144.3228759765625,61.381004333496094,23.300390243530273,74.59380340576172,35.34858322143555,26.687957763671875,120.27454376220703,171.08999633789062,121.45899963378906,97.73975372314453,106.78610229492188,36457.31640625,2557.931640625,28.850000381469727,1.746999979019165
2022-01-22,,,,,,,,,,,,,,,,,35030.25,2405.18115234375,,
2022-01-23,,,,,,,,,,,,,,,,,36276.8046875,2535.0390625,,
2022-01-24,157.86953735351562,284.9546813964844,144.54400634765625,129.65432739257812,129.44683837890625,142.65968322753906,61.90831756591797,23.29839515686035,74.98047637939453,35.45037078857422,26.867443084716797,119.87505340576172,172.02999877929688,120.46111297607422,97.65316772460938,106.45475006103516,36654.328125,2440.352294921875,29.899999618530273,1.7350000143051147
2022-01-25,156.07223510742188,277.37823486328125,139.98599243164062,125.81932067871094,130.85784912109375,146.73892211914062,63.728389739990234,22.25370216369629,73.24526977539062,35.59842300415039,27.910175323486328,119.1040267944336,172.5800018310547,120.2666244506836,97.5233154296875,106.15650177001953,36954.00390625,2455.93505859375,31.15999984741211,1.7829999923706055
2022-01-26,155.98435974121094,285.2816467285156,138.87249755859375,128.09710693359375,132.09915161132812,147.39540100097656,63.082000732421875,22.700284957885742,73.67544555664062,35.69096374511719,27.8631649017334,118.48161315917969,169.7899932861328,118.81214141845703,96.83068084716797,105.4357681274414,36852.12109375,2468.0302734375,31.959999084472656,1.8480000495910645
2022-01-27,155.52523803710938,288.2911376953125,139.6374969482422,127.87113952636719,129.768310546875,149.3300018310547,63.889984130859375,21.874895095825195,73.1679458618164,35.36708068847656,28.166584014892578,118.78817749023438,167.60000610351562,120.9939193725586,97.23762512207031,105.676025390625,37138.234375,2423.001220703125,30.489999771118164,1.8070000410079956
2022-01-28,166.37744140625,296.3867492675781,143.97799682617188,132.17893981933594,130.92930603027344,150.3804168701172,64.02606201171875,22.7680721282959,76.36764526367188,35.82975769042969,28.04692268371582,121.2127914428711,167.10000610351562,121.03619384765625,97.46269989013672,105.79196166992188,37784.33203125,2547.092041015625,27.65999984741211,1.781999945640564
2022-01-29,,,,,,,,,,,,,,,,,38138.1796875,2597.084716796875,,
2022-01-30,,,,,,,,,,,,,,,,,37917.6015625,2603.466552734375,,
2022-01-31,170.7241668701172,299.0019836425781,149.57350158691406,134.11427307128906,132.70645141601562,150.818115234375,64.60440063476562,24.40888786315918,78.28651428222656,36.144378662109375,28.17085838317871,121.90953063964844,168.08999633789062,120.41034698486328,97.46269989013672,105.84168243408203,38483.125,2688.27880859375,24.829999923706055,1.781999945640564
