date,mom_1m,mom_3m,mom_6m,mom_12m,mom_12_1,vol_21d,vol_63d,mdd_12m,dist_ma50,dist_ma200,rsi_14,macd_hist,rank_mom_12m,rank_vol_21d,rank_mom_1m,mkt_ret_1m,lag_target_ret_1m,y,vix_chg_1m,tnx_chg_1m,asset
2017-02-28,0.21595868139061847,0.5823846659367242,1.050438599514898,1.695860367001326,1.2170657673320222,0.357713191368323,0.6104055702662283,-0.3264598371930667,0.19778083278381375,0.5258412807038522,73.4524903407522,8.392892392752827,0.9411764705882353,0.9411764705882353,1.0,0.039788273228134705,0.21595868139061847,-0.09168024129983776,0.9300003051757812,-0.09299993515014648,BTC-USD
2017-03-31,-0.09168024129983776,0.1150100867214856,0.7577965260506163,1.5719113117061,1.8315043100973565,0.8542375068889254,0.5900846821099286,-0.3264598371930667,-0.03448147466538276,0.25037012626784705,49.41693940882512,0.22523847407577335,0.9411764705882353,1.0,0.058823529411764705,0.0040780348234002485,-0.09168024129983776,0.2283002570356798,-0.5500001907348633,0.037999868392944336,BTC-USD
2017-04-28,0.2283002570356798,0.3566322032534832,0.878077881708095,1.8927459953711683,1.3550805096730834,0.22225955513543758,0.5716050430417212,-0.3264598371930667,0.14607586774797787,0.40111488479531654,72.00734039396015,8.926799818942811,0.9411764705882353,0.9411764705882353,1.0,0.02327147288079116,0.2283002570356798,0.7367601072788579,-1.5500001907348633,-0.11399984359741211,BTC-USD
2017-05-31,0.7367601072788579,0.9376848300189711,2.0661627624402277,3.302729034893182,1.4774458008680682,0.7731685508040138,0.5121746086092093,-0.3264598371930667,0.389812282044792,1.014552308398895,64.04136776722531,-10.263484556524844,1.0,1.0,1.0,0.0813665107832195,0.7367601072788579,0.08503732193929925,-0.4099998474121094,-0.08599996566772461,BTC-USD
2017-06-30,0.08503732193929925,1.3146698490131778,1.5808802290797916,2.6843960448344912,2.395639919785735,0.641588045262184,0.6556470500803834,-0.3264598371930667,0.03286164269802061,0.7495536566237637,46.9135757708994,-39.820163078825104,1.0,1.0,0.9411764705882353,0.008583562244320567,0.08503732193929925,0.15901871383230914,0.7700004577636719,0.10599994659423828,BTC-USD
2017-07-31,0.15901871383230914,1.1841122770942727,1.9630370506273853,3.3765221930523683,2.7760582644790484,1.210360450338238,0.8507232554862444,-0.3476172704162839,0.12805246706995055,0.7221690165905026,59.9931599915249,35.337598633417755,1.0,1.0,1.0,0.03156455068387026,0.15901871383230914,0.6357682892979797,-0.9200000762939453,-0.009999990463256836,BTC-USD
2017-08-31,0.10699922050778188,0.07779526646354618,0.20682934819791976,0.5729772378656754,0.4209379814595975,0.18823810735274865,0.20796772280940587,-0.101456865285102,0.07631325416227397,0.19132841020881908,67.73336215533249,0.03714659817919386,0.8823529411764706,0.8823529411764706,0.9411764705882353,0.05022533451365093,0.10699922050778188,-0.06024355653835434,0.3299999237060547,-0.17100000381469727,AAPL
2017-08-31,-0.007268848531284733,-0.014095840176523433,0.16041844301265384,0.2748972527395137,0.2842321416562201,0.17438887213995857,0.19638199045759938,-0.14838457260398863,-0.007947375094386366,0.09721635362025483,52.82847092077424,0.07894859259138531,0.7058823529411765,0.8235294117647058,0.29411764705882354,0.05022533451365093,-0.007268848531284733,-0.019630792069039615,0.3299999237060547,-0.17100000381469727,AMZN
2017-08-31,0.6357682892979797,1.0571071319313603,2.9860252832672307,7.1731000994534355,3.9964901220582245,0.5367105653721083,0.8356518463156877,-0.3476172704162839,0.39667796485286355,1.2135374401109003,75.89714739778293,-3.275851497888141,1.0,1.0,1.0,0.05022533451365093,0.6357682892979797,-0.11487890580919291,0.3299999237060547,-0.17100000381469727,BTC-USD
2017-08-31,0.04198757511241591,0.043110568975588404,0.05527129206029158,0.00833467643613961,-0.03229683297581121,0.10418747002217225,0.09565310587487495,-0.17759735807380128,0.04961258824182835,0.07198495350473944,72.67015027883842,0.24170342406771783,0.29411764705882354,0.4117647058823529,0.8235294117647058,0.05022533451365093,0.04198757511241591,-0.03369891808976022,0.3299999237060547,-0.17100000381469727,GLD
